experiment,sample,substrate,abs,e,buffer,pH,T,[enz],[h2o2],[sub]
23,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
23,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,6.188
23,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,8.251
71,1,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,2.108
71,2,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,1.054
71,3,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,0.422
71,4,BnOH,285,1.23,Phosphate,8.01,25,0.028,122.426,0.211
9,1,4OMe-BnOH,300,7.53,Phosphate,5.67,25,0.175,82.5,1.85
9,2,4OMe-BnOH,300,7.53,Phosphate,5.67,25,0.175,82.5,3.7
9,3,4OMe-BnOH,300,7.53,Phosphate,5.67,25,0.175,82.5,5.549
9,4,4OMe-BnOH,300,7.53,Phosphate,5.67,25,0.175,82.5,7.399
128,1,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
128,2,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,195.882,9.47
128,3,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
128,4,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.032,3.879,9.47
128,5,4OMe-BnOH,300,7.53,Pyrophosphate,7.29,25,0.0,195.882,9.47
51,1,BnOH,285,1.23,Boric,9.01,25,0.28,82.5,2.062
51,2,BnOH,285,1.23,Boric,9.01,25,0.28,82.5,4.124
51,3,BnOH,285,1.23,Boric,9.01,25,0.28,82.5,6.186
51,4,BnOH,285,1.23,Boric,9.01,25,0.28,82.5,8.249
25,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,2.063
25,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
25,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,6.188
25,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,8.251
142,1,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,73.424,10.816
142,2,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,73.424,3.028
142,3,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,73.424,0.865
142,4,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,73.424,0.216
142,5,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,36.712,10.816
142,6,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,7.342,10.816
142,7,BnOH,285,1.23,Pyrophosphate,9.43,25,0.014,3.671,10.816
70,1,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,2.108
70,2,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,1.054
70,3,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,0.422
70,4,BnOH,285,1.23,Phosphate,8.01,25,0.0,122.426,0.211
72,1,BnOH,285,1.23,Phosphate,7.0,25,0.028,122.426,6.325
72,2,BnOH,285,1.23,Phosphate,7.0,25,0.028,122.426,3.163
72,3,BnOH,285,1.23,Phosphate,7.0,25,0.028,122.426,1.265
72,4,BnOH,285,1.23,Phosphate,7.0,25,0.028,122.426,0.316
28,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,2.063
28,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
28,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,6.188
