Time,Value
8673.0,0.004
8722.0,0.004
8771.0,0.003
8820.0,0.004
8869.0,0.004
8918.0,0.004
8967.0,0.004
9016.0,0.004
9065.0,0.004
9114.0,0.004
9163.0,0.004
9212.0,0.005
9261.0,0.005
9310.0,0.004
9359.0,0.005
9408.0,0.005
9457.0,0.005
9506.0,0.005
9555.0,0.004
9604.0,0.005
9653.0,0.005
9702.0,0.005
9751.0,0.005
9800.0,0.004
9849.0,0.005
9898.0,0.005
9947.0,0.005
9996.0,0.005
10045.0,0.005
10094.0,0.005
10143.0,0.005
10192.0,0.006
10241.0,0.005
10290.0,0.006
10339.0,0.006
10388.0,0.006
10437.0,0.005
10486.0,0.006
10535.0,0.006
10584.0,0.006
10633.0,0.006
10682.0,0.006
10731.0,0.006
10780.0,0.007
10829.0,0.006
10878.0,0.007
10927.0,0.006
10976.0,0.006
11025.0,0.006
11074.0,0.006
11123.0,0.007
11172.0,0.006
11221.0,0.006
11270.0,0.007
11319.0,0.007
11368.0,0.006
11417.0,0.006
11466.0,0.007
11515.0,0.007
11564.0,0.007
11613.0,0.007
11662.0,0.007
11711.0,0.007
11760.0,0.006
11809.0,0.007
11858.0,0.007
11907.0,0.008
11956.0,0.007
12005.0,0.007
12054.0,0.008
12103.0,0.008
12152.0,0.008
12201.0,0.008
12250.0,0.007
12299.0,0.007
12348.0,0.007
12397.0,0.008
12446.0,0.008
12495.0,0.008
12544.0,0.008
12593.0,0.008
12642.0,0.009
12691.0,0.008
12740.0,0.008
12789.0,0.008
12838.0,0.008
12887.0,0.008
12936.0,0.008
12985.0,0.009
13034.0,0.008
13083.0,0.008
13132.0,0.009
13181.0,0.009
13230.0,0.009
13279.0,0.009
13328.0,0.009
13377.0,0.009
13426.0,0.009
13475.0,0.009
13524.0,0.01
13573.0,0.01
13622.0,0.009
13671.0,0.009
13720.0,0.009
13769.0,0.009
13818.0,0.009
13867.0,0.01
13916.0,0.009
13965.0,0.01
14014.0,0.011
14063.0,0.01
14112.0,0.01
14161.0,0.01
14210.0,0.01
14259.0,0.01
14308.0,0.01
14357.0,0.01
14406.0,0.01
14455.0,0.011
14504.0,0.011
14553.0,0.01
14602.0,0.011
14651.0,0.011
14700.0,0.01
14749.0,0.011
14798.0,0.011
14847.0,0.011
14896.0,0.011
14945.0,0.011
14994.0,0.011
15043.0,0.011
15092.0,0.011
15141.0,0.012
15190.0,0.012
15239.0,0.011
15288.0,0.012
15337.0,0.011
15386.0,0.012
15435.0,0.012
15484.0,0.012
15533.0,0.012
15582.0,0.012
15631.0,0.012
15680.0,0.012
15729.0,0.012
15778.0,0.012
15827.0,0.013
15876.0,0.013
15925.0,0.012
15974.0,0.013
16023.0,0.013
16072.0,0.013
16121.0,0.013
16170.0,0.013
16219.0,0.013
16268.0,0.013
16317.0,0.013
16366.0,0.013
16415.0,0.013
16464.0,0.013
16513.0,0.013
16562.0,0.014
16611.0,0.013
16660.0,0.014
16709.0,0.014
16758.0,0.014
16807.0,0.013
16856.0,0.013
16905.0,0.014
16954.0,0.013
17003.0,0.014
17052.0,0.013
17101.0,0.015
17150.0,0.014
17199.0,0.014
17248.0,0.015
17297.0,0.015
17346.0,0.015
17395.0,0.015
17444.0,0.015
17493.0,0.015
17542.0,0.014
17591.0,0.015
17640.0,0.015
17689.0,0.015
17738.0,0.015
17787.0,0.015
17836.0,0.016
17885.0,0.015
17934.0,0.016
17983.0,0.016
