Batch	mads_t002.rre						
Evolution 600	161008						
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010	Date Collected	4/8/2010
Time Collected	6:43:40PM	Time Collected	6:43:47PM	Time Collected	6:43:54PM	Time Collected	6:44:01PM
							
Substrate Conc.	1.5199 mmol/l	Substrate Conc.	3.0397 mmol/l	Substrate Conc.	4.5596 mmol/l		
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
7938.000	0.010	7938.000	0.025	7938.000	0.065	7938.000	0.045
7987.000	0.010	7987.000	0.025	7987.000	0.065	7987.000	0.045
8036.000	0.011	8036.000	0.026	8036.000	0.065	8036.000	0.045
8085.000	0.010	8085.000	0.025	8085.000	0.066	8085.000	0.046
8134.000	0.010	8134.000	0.025	8134.000	0.065	8134.000	0.046
8183.000	0.010	8183.000	0.026	8183.000	0.065	8183.000	0.046
8232.000	0.010	8232.000	0.026	8232.000	0.065	8232.000	0.047
8281.000	0.011	8281.000	0.026	8281.000	0.066	8281.000	0.046
8330.000	0.011	8330.000	0.026	8330.000	0.066	8330.000	0.047
8379.000	0.011	8379.000	0.027	8379.000	0.066	8379.000	0.047
8428.000	0.011	8428.000	0.027	8428.000	0.066	8428.000	0.047
8477.000	0.011	8477.000	0.027	8477.000	0.066	8477.000	0.047
8526.000	0.011	8526.000	0.028	8526.000	0.066	8526.000	0.048
8575.000	0.011	8575.000	0.027	8575.000	0.066	8575.000	0.048
8624.000	0.011	8624.000	0.027	8624.000	0.066	8624.000	0.049
8673.000	0.011	8673.000	0.027	8673.000	0.067	8673.000	0.049
8722.000	0.012	8722.000	0.028	8722.000	0.067	8722.000	0.049
8771.000	0.011	8771.000	0.028	8771.000	0.067	8771.000	0.050
8820.000	0.012	8820.000	0.028	8820.000	0.067	8820.000	0.050
8869.000	0.012	8869.000	0.028	8869.000	0.067	8869.000	0.050
8918.000	0.012	8918.000	0.028	8918.000	0.067	8918.000	0.050
8967.000	0.012	8967.000	0.028	8967.000	0.067	8967.000	0.050
9016.000	0.012	9016.000	0.028	9016.000	0.067	9016.000	0.051
9065.000	0.012	9065.000	0.028	9065.000	0.068	9065.000	0.051
9114.000	0.013	9114.000	0.030	9114.000	0.068	9114.000	0.051
9163.000	0.012	9163.000	0.029	9163.000	0.067	9163.000	0.051
9212.000	0.013	9212.000	0.029	9212.000	0.068	9212.000	0.051
9261.000	0.012	9261.000	0.029	9261.000	0.069	9261.000	0.052
9310.000	0.013	9310.000	0.029	9310.000	0.069	9310.000	0.052
9359.000	0.013	9359.000	0.030	9359.000	0.068	9359.000	0.052
9408.000	0.013	9408.000	0.030	9408.000	0.069	9408.000	0.053
9457.000	0.013	9457.000	0.030	9457.000	0.069	9457.000	0.052
9506.000	0.013	9506.000	0.030	9506.000	0.069	9506.000	0.053
9555.000	0.013	9555.000	0.030	9555.000	0.068	9555.000	0.053
9604.000	0.014	9604.000	0.031	9604.000	0.069	9604.000	0.054
9653.000	0.014	9653.000	0.030	9653.000	0.069	9653.000	0.054
9702.000	0.013	9702.000	0.030	9702.000	0.069	9702.000	0.054
9751.000	0.014	9751.000	0.030	9751.000	0.070	9751.000	0.054
9800.000	0.014	9800.000	0.031	9800.000	0.070	9800.000	0.054
9849.000	0.013	9849.000	0.031	9849.000	0.070	9849.000	0.055
9898.000	0.013	9898.000	0.031	9898.000	0.070	9898.000	0.055
9947.000	0.014	9947.000	0.032	9947.000	0.070	9947.000	0.055
9996.000	0.014	9996.000	0.032	9996.000	0.071	9996.000	0.056
10045.000	0.013	10045.000	0.032	10045.000	0.071	10045.000	0.055
10094.000	0.014	10094.000	0.033	10094.000	0.070	10094.000	0.056
10143.000	0.014	10143.000	0.032	10143.000	0.070	10143.000	0.055
10192.000	0.014	10192.000	0.032	10192.000	0.071	10192.000	0.056
10241.000	0.014	10241.000	0.034	10241.000	0.070	10241.000	0.056
10290.000	0.014	10290.000	0.032	10290.000	0.071	10290.000	0.057
10339.000	0.014	10339.000	0.033	10339.000	0.071	10339.000	0.057
10388.000	0.014	10388.000	0.034	10388.000	0.071	10388.000	0.058
10437.000	0.014	10437.000	0.033	10437.000	0.071	10437.000	0.057
10486.000	0.014	10486.000	0.034	10486.000	0.071	10486.000	0.058
10535.000	0.014	10535.000	0.033	10535.000	0.071	10535.000	0.058
10584.000	0.014	10584.000	0.033	10584.000	0.072	10584.000	0.058
10633.000	0.015	10633.000	0.034	10633.000	0.072	10633.000	0.058
10682.000	0.014	10682.000	0.034	10682.000	0.072	10682.000	0.058
10731.000	0.014	10731.000	0.034	10731.000	0.072	10731.000	0.059
10780.000	0.015	10780.000	0.034	10780.000	0.072	10780.000	0.059
10829.000	0.014	10829.000	0.035	10829.000	0.073	10829.000	0.059
10878.000	0.015	10878.000	0.035	10878.000	0.072	10878.000	0.060
10927.000	0.015	10927.000	0.035	10927.000	0.072	10927.000	0.060
