Batch	rate128.rre								
Evolution 600	161008								
Sample	Sample001	Sample	Sample002	Sample	Sample003	Sample	Sample004	Sample	Sample005
Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A	Data Mode	A
Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None	Smoothing	None
Date Collected	9/1/2010	Date Collected	9/1/2010	Date Collected	9/1/2010	Date Collected	9/1/2010	Date Collected	9/1/2010
Time Collected	3:57:26AM	Time Collected	6:23:55AM	Time Collected	3:57:41AM	Time Collected	3:57:49AM	Time Collected	3:57:56AM
ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value	ss.sss	Value
3042.000	0.036	3042.000	-0.008	3042.000	-0.026	3042.000	-0.024	3042.000	-0.028
3081.000	0.036	3081.000	-0.009	3081.000	-0.027	3081.000	-0.024	3081.000	-0.028
3120.000	0.036	3120.000	-0.009	3120.000	-0.027	3120.000	-0.024	3120.000	-0.028
3159.000	0.036	3159.000	-0.008	3159.000	-0.026	3159.000	-0.024	3159.000	-0.028
3198.000	0.037	3198.000	-0.009	3198.000	-0.027	3198.000	-0.024	3198.000	-0.028
3237.000	0.037	3237.000	-0.010	3237.000	-0.025	3237.000	-0.024	3237.000	-0.028
3276.000	0.036	3276.000	-0.008	3276.000	-0.027	3276.000	-0.024	3276.000	-0.028
3315.000	0.037	3315.000	-0.010	3315.000	-0.027	3315.000	-0.024	3315.000	-0.028
3354.000	0.039	3354.000	-0.009	3354.000	-0.026	3354.000	-0.024	3354.000	-0.028
3393.000	0.036	3393.000	-0.008	3393.000	-0.027	3393.000	-0.024	3393.000	-0.028
3432.000	0.037	3432.000	-0.008	3432.000	-0.027	3432.000	-0.024	3432.000	-0.028
3471.000	0.038	3471.000	-0.008	3471.000	-0.026	3471.000	-0.024	3471.000	-0.028
3510.000	0.038	3510.000	-0.009	3510.000	-0.027	3510.000	-0.024	3510.000	-0.028
3549.000	0.037	3549.000	-0.007	3549.000	-0.027	3549.000	-0.024	3549.000	-0.028
3588.000	0.038	3588.000	-0.008	3588.000	-0.025	3588.000	-0.024	3588.000	-0.028
3627.000	0.037	3627.000	-0.008	3627.000	-0.027	3627.000	-0.024	3627.000	-0.028
3666.000	0.037	3666.000	-0.008	3666.000	-0.027	3666.000	-0.024	3666.000	-0.028
3705.000	0.038	3705.000	-0.008	3705.000	-0.027	3705.000	-0.024	3705.000	-0.028
3744.000	0.038	3744.000	-0.008	3744.000	-0.026	3744.000	-0.024	3744.000	-0.028
3783.000	0.038	3783.000	-0.008	3783.000	-0.026	3783.000	-0.024	3783.000	-0.028
3822.000	0.038	3822.000	-0.009	3822.000	-0.026	3822.000	-0.024	3822.000	-0.028
3861.000	0.038	3861.000	-0.009	3861.000	-0.026	3861.000	-0.024	3861.000	-0.028
3900.000	0.038	3900.000	-0.009	3900.000	-0.025	3900.000	-0.023	3900.000	-0.028
3939.000	0.038	3939.000	-0.007	3939.000	-0.024	3939.000	-0.024	3939.000	-0.028
3978.000	0.037	3978.000	-0.007	3978.000	-0.026	3978.000	-0.024	3978.000	-0.028
4017.000	0.039	4017.000	-0.008	4017.000	-0.025	4017.000	-0.024	4017.000	-0.028
4056.000	0.039	4056.000	-0.008	4056.000	-0.028	4056.000	-0.024	4056.000	-0.028
4095.000	0.038	4095.000	-0.008	4095.000	-0.026	4095.000	-0.024	4095.000	-0.028
4134.000	0.038	4134.000	-0.007	4134.000	-0.026	4134.000	-0.024	4134.000	-0.028
4173.000	0.039	4173.000	-0.008	4173.000	-0.026	4173.000	-0.024	4173.000	-0.028
4212.000	0.039	4212.000	-0.007	4212.000	-0.024	4212.000	-0.024	4212.000	-0.027
4251.000	0.039	4251.000	-0.006	4251.000	-0.026	4251.000	-0.023	4251.000	-0.027
4290.000	0.039	4290.000	-0.007	4290.000	-0.025	4290.000	-0.024	4290.000	-0.028
4329.000	0.039	4329.000	-0.007	4329.000	-0.025	4329.000	-0.023	4329.000	-0.027
4368.000	0.039	4368.000	-0.006	4368.000	-0.026	4368.000	-0.024	4368.000	-0.027
4407.000	0.038	4407.000	-0.008	4407.000	-0.025	4407.000	-0.023	4407.000	-0.028
4446.000	0.040	4446.000	-0.007	4446.000	-0.025	4446.000	-0.023	4446.000	-0.028
4485.000	0.040	4485.000	-0.006	4485.000	-0.025	4485.000	-0.023	4485.000	-0.028
4524.000	0.039	4524.000	-0.007	4524.000	-0.025	4524.000	-0.023	4524.000	-0.028
4563.000	0.040	4563.000	-0.007	4563.000	-0.025	4563.000	-0.023	4563.000	-0.027
4602.000	0.039	4602.000	-0.007	4602.000	-0.025	4602.000	-0.023	4602.000	-0.027
4641.000	0.039	4641.000	-0.006	4641.000	-0.024	4641.000	-0.024	4641.000	-0.027
4680.000	0.039	4680.000	-0.006	4680.000	-0.026	4680.000	-0.023	4680.000	-0.028
4719.000	0.040	4719.000	-0.008	4719.000	-0.026	4719.000	-0.023	4719.000	-0.027
4758.000	0.039	4758.000	-0.007	4758.000	-0.026	4758.000	-0.023	4758.000	-0.027
4797.000	0.040	4797.000	-0.006	4797.000	-0.025	4797.000	-0.023	4797.000	-0.027
4836.000	0.041	4836.000	-0.005	4836.000	-0.025	4836.000	-0.023	4836.000	-0.027
4875.000	0.040	4875.000	-0.007	4875.000	-0.025	4875.000	-0.023	4875.000	-0.028
4914.000	0.039	4914.000	-0.007	4914.000	-0.025	4914.000	-0.023	4914.000	-0.027
4953.000	0.041	4953.000	-0.006	4953.000	-0.026	4953.000	-0.023	4953.000	-0.027
4992.000	0.039	4992.000	-0.006	4992.000	-0.025	4992.000	-0.023	4992.000	-0.027
5031.000	0.040	5031.000	-0.007	5031.000	-0.024	5031.000	-0.023	5031.000	-0.027
5070.000	0.041	5070.000	-0.006	5070.000	-0.026	5070.000	-0.023	5070.000	-0.027
5109.000	0.040	5109.000	-0.005	5109.000	-0.026	5109.000	-0.023	5109.000	-0.027
5148.000	0.040	5148.000	-0.005	5148.000	-0.024	5148.000	-0.023	5148.000	-0.027
5187.000	0.039	5187.000	-0.007	5187.000	-0.025	5187.000	-0.023	5187.000	-0.027
5226.000	0.041	5226.000	-0.006	5226.000	-0.025	5226.000	-0.023	5226.000	-0.027
5265.000	0.040	5265.000	-0.005	5265.000	-0.025	5265.000	-0.023	5265.000	-0.027
5304.000	0.041	5304.000	-0.006	5304.000	-0.024	5304.000	-0.023	5304.000	-0.027
5343.000	0.039	5343.000	-0.006	5343.000	-0.023	5343.000	-0.023	5343.000	-0.027
5382.000	0.040	5382.000	-0.005	5382.000	-0.025	5382.000	-0.023	5382.000	-0.027
5421.000	0.041	5421.000	-0.006	5421.000	-0.024	5421.000	-0.023	5421.000	-0.027
5460.000	0.041	5460.000	-0.005	5460.000	-0.025	5460.000	-0.023	5460.000	-0.027
5499.000	0.040	5499.000	-0.006	5499.000	-0.025	5499.000	-0.023	5499.000	-0.027
5538.000	0.041	5538.000	-0.006	5538.000	-0.023	5538.000	-0.023	5538.000	-0.028
5577.000	0.041	5577.000	-0.005	5577.000	-0.024	5577.000	-0.023	5577.000	-0.027
5616.000	0.041	5616.000	-0.006	5616.000	-0.024	5616.000	-0.023	5616.000	-0.027
5655.000	0.042	5655.000	-0.006	5655.000	-0.026	5655.000	-0.023	5655.000	-0.027
5694.000	0.041	5694.000	-0.006	5694.000	-0.023	5694.000	-0.023	5694.000	-0.027
5733.000	0.042	5733.000	-0.006	5733.000	-0.024	5733.000	-0.023	5733.000	-0.027
5772.000	0.042	5772.000	-0.006	5772.000	-0.028	5772.000	-0.023	5772.000	-0.027
5811.000	0.042	5811.000	-0.005	5811.000	-0.027	5811.000	-0.023	5811.000	-0.027
5850.000	0.041	5850.000	-0.004	5850.000	-0.027	5850.000	-0.023	5850.000	-0.027
5889.000	0.041	5889.000	-0.003	5889.000	-0.027	5889.000	-0.023	5889.000	-0.027
5928.000	0.041	5928.000	-0.004	5928.000	-0.029	5928.000	-0.023	5928.000	-0.027
5967.000	0.042	5967.000	-0.004	5967.000	-0.028	5967.000	-0.023	5967.000	-0.027
6006.000	0.042	6006.000	-0.004	6006.000	-0.029	6006.000	-0.023	6006.000	-0.027
6045.000	0.043	6045.000	-0.005	6045.000	-0.028	6045.000	-0.023	6045.000	-0.027
6084.000	0.042	6084.000	-0.005	6084.000	-0.028	6084.000	-0.023	6084.000	-0.027
6123.000	0.041	6123.000	-0.005	6123.000	-0.028	6123.000	-0.023	6123.000	-0.027
6162.000	0.041	6162.000	-0.004	6162.000	-0.029	6162.000	-0.023	6162.000	-0.027
6201.000	0.042	6201.000	-0.004	6201.000	-0.028	6201.000	-0.023	6201.000	-0.027
6240.000	0.042	6240.000	-0.004	6240.000	-0.028	6240.000	-0.023	6240.000	-0.027
6279.000	0.043	6279.000	-0.005	6279.000	-0.028	6279.000	-0.023	6279.000	-0.027
6318.000	0.043	6318.000	-0.004	6318.000	-0.029	6318.000	-0.023	6318.000	-0.027
6357.000	0.044	6357.000	-0.005	6357.000	-0.029	6357.000	-0.023	6357.000	-0.027
6396.000	0.043	6396.000	-0.004	6396.000	-0.030	6396.000	-0.023	6396.000	-0.027
6435.000	0.043	6435.000	-0.005	6435.000	-0.028	6435.000	-0.023	6435.000	-0.027
6474.000	0.043	6474.000	-0.004	6474.000	-0.028	6474.000	-0.023	6474.000	-0.027
6513.000	0.041	6513.000	-0.004	6513.000	-0.029	6513.000	-0.023	6513.000	-0.027
6552.000	0.043	6552.000	-0.006	6552.000	-0.028	6552.000	-0.023	6552.000	-0.027
6591.000	0.043	6591.000	-0.004	6591.000	-0.030	6591.000	-0.023	6591.000	-0.027
6630.000	0.044	6630.000	-0.004	6630.000	-0.028	6630.000	-0.023	6630.000	-0.027
6669.000	0.044	6669.000	-0.003	6669.000	-0.029	6669.000	-0.023	6669.000	-0.027
6708.000	0.044	6708.000	-0.003	6708.000	-0.028	6708.000	-0.023	6708.000	-0.027
6747.000	0.043	6747.000	-0.004	6747.000	-0.028	6747.000	-0.023	6747.000	-0.027
6786.000	0.044	6786.000	-0.004	6786.000	-0.027	6786.000	-0.023	6786.000	-0.027
6825.000	0.043	6825.000	-0.003	6825.000	-0.027	6825.000	-0.023	6825.000	-0.027
6864.000	0.044	6864.000	-0.004	6864.000	-0.029	6864.000	-0.023	6864.000	-0.027
6903.000	0.044	6903.000	-0.002	6903.000	-0.028	6903.000	-0.023	6903.000	-0.027
6942.000	0.043	6942.000	-0.004	6942.000	-0.028	6942.000	-0.022	6942.000	-0.027
6981.000	0.043	6981.000	-0.003	6981.000	-0.028	6981.000	-0.023	6981.000	-0.027
7020.000	0.043	7020.000	-0.003	7020.000	-0.028	7020.000	-0.023	7020.000	-0.027
7059.000	0.045	7059.000	-0.003	7059.000	-0.028	7059.000	-0.023	7059.000	-0.027
7098.000	0.044	7098.000	-0.004	7098.000	-0.028	7098.000	-0.023	7098.000	-0.027
7137.000	0.044	7137.000	-0.003	7137.000	-0.028	7137.000	-0.023	7137.000	-0.027
7176.000	0.045	7176.000	-0.003	7176.000	-0.029	7176.000	-0.022	7176.000	-0.027
7215.000	0.045	7215.000	-0.003	7215.000	-0.028	7215.000	-0.023	7215.000	-0.027
7254.000	0.044	7254.000	-0.002	7254.000	-0.028	7254.000	-0.023	7254.000	-0.027
7293.000	0.045	7293.000	-0.003	7293.000	-0.028	7293.000	-0.023	7293.000	-0.027
7332.000	0.044	7332.000	-0.001	7332.000	-0.028	7332.000	-0.022	7332.000	-0.027
7371.000	0.045	7371.000	-0.003	7371.000	-0.027	7371.000	-0.023	7371.000	-0.027
7410.000	0.045	7410.000	-0.003	7410.000	-0.028	7410.000	-0.023	7410.000	-0.027
7449.000	0.045	7449.000	-0.002	7449.000	-0.028	7449.000	-0.023	7449.000	-0.027
7488.000	0.045	7488.000	-0.003	7488.000	-0.027	7488.000	-0.022	7488.000	-0.027
7527.000	0.045	7527.000	-0.003	7527.000	-0.027	7527.000	-0.023	7527.000	-0.027
7566.000	0.046	7566.000	-0.002	7566.000	-0.028	7566.000	-0.023	7566.000	-0.027
7605.000	0.045	7605.000	-0.002	7605.000	-0.028	7605.000	-0.022	7605.000	-0.027
7644.000	0.045	7644.000	-0.003	7644.000	-0.027	7644.000	-0.023	7644.000	-0.027
7683.000	0.045	7683.000	-0.003	7683.000	-0.027	7683.000	-0.023	7683.000	-0.027
7722.000	0.046	7722.000	-0.003	7722.000	-0.027	7722.000	-0.023	7722.000	-0.026
7761.000	0.044	7761.000	-0.001	7761.000	-0.028	7761.000	-0.022	7761.000	-0.027
7800.000	0.046	7800.000	-0.002	7800.000	-0.027	7800.000	-0.022	7800.000	-0.027
7839.000	0.045	7839.000	-0.002	7839.000	-0.028	7839.000	-0.022	7839.000	-0.027
7878.000	0.046	7878.000	-0.001	7878.000	-0.028	7878.000	-0.022	7878.000	-0.027
7917.000	0.046	7917.000	-0.002	7917.000	-0.027	7917.000	-0.022	7917.000	-0.027
7956.000	0.047	7956.000	-0.002	7956.000	-0.027	7956.000	-0.022	7956.000	-0.027
7995.000	0.047	7995.000	-0.003	7995.000	-0.027	7995.000	-0.022	7995.000	-0.027
8034.000	0.046	8034.000	-0.003	8034.000	-0.027	8034.000	-0.022	8034.000	-0.027
8073.000	0.046	8073.000	-0.001	8073.000	-0.027	8073.000	-0.022	8073.000	-0.027
8112.000	0.047	8112.000	-0.001	8112.000	-0.026	8112.000	-0.023	8112.000	-0.027
8151.000	0.046	8151.000	-0.003	8151.000	-0.028	8151.000	-0.023	8151.000	-0.026
8190.000	0.046	8190.000	-0.003	8190.000	-0.027	8190.000	-0.022	8190.000	-0.027
8229.000	0.046	8229.000	-0.002	8229.000	-0.027	8229.000	-0.022	8229.000	-0.027
8268.000	0.046	8268.000	-0.003	8268.000	-0.028	8268.000	-0.022	8268.000	-0.027
8307.000	0.046	8307.000	-0.002	8307.000	-0.027	8307.000	-0.022	8307.000	-0.027
8346.000	0.047	8346.000	0.000	8346.000	-0.028	8346.000	-0.022	8346.000	-0.027
8385.000	0.047	8385.000	-0.004	8385.000	-0.027	8385.000	-0.022	8385.000	-0.027
8424.000	0.048	8424.000	-0.005	8424.000	-0.026	8424.000	-0.022	8424.000	-0.027
8463.000	0.048	8463.000	-0.005	8463.000	-0.028	8463.000	-0.022	8463.000	-0.027
8502.000	0.047	8502.000	-0.004	8502.000	-0.028	8502.000	-0.022	8502.000	-0.027
8541.000	0.047	8541.000	-0.004	8541.000	-0.027	8541.000	-0.022	8541.000	-0.027
8580.000	0.047	8580.000	-0.005	8580.000	-0.027	8580.000	-0.022	8580.000	-0.027
8619.000	0.047	8619.000	-0.005	8619.000	-0.027	8619.000	-0.022	8619.000	-0.027
8658.000	0.048	8658.000	-0.005	8658.000	-0.026	8658.000	-0.022	8658.000	-0.027
8697.000	0.047	8697.000	-0.005	8697.000	-0.027	8697.000	-0.022	8697.000	-0.027
8736.000	0.047	8736.000	-0.003	8736.000	-0.027	8736.000	-0.022	8736.000	-0.027
8775.000	0.047	8775.000	-0.006						
									
									
									
